mm,yyyy,Pemba_Airport,Mkoani,Weni,AMKarume_Airport,Victoria_Garden,Paje,Makunduchi,Kizimbani,Donge,JKNIA,Kisarawe
Jan,1970,-99,-99,-99,106.3,-99,-99,-99,64.0,-99,110.7,-99
Feb,1970,-99,-99,-99,78.6,-99,-99,-99,53.3,-99,41.8,-99
Mar,1970,-99,-99,-99,81.1,-99,-99,-99,298.9,-99,80,-99
Apr,1970,-99,-99,-99,176.3,-99,-99,-99,262.1,-99,180.7,-99
May,1970,-99,-99,-99,149.7,-99,-99,-99,278.1,-99,126.7,-99
Jun,1970,-99,-99,-99,10.8,-99,-99,-99,46.2,-99,2.2,-99
Jul,1970,-99,-99,-99,46.5,-99,-99,-99,75.7,-99,15.3,-99
Aug,1970,-99,-99,-99,29.8,-99,-99,-99,60.7,-99,9.5,-99
Sep,1970,-99,-99,-99,147.6,-99,-99,-99,155.7,-99,59.1,-99
Oct,1970,-99,-99,-99,29.5,-99,-99,-99,104.1,-99,15.7,-99
Nov,1970,-99,-99,-99,28.1,-99,-99,-99,61.0,-99,20.4,-99
Dec,1970,-99,-99,-99,319.0,-99,-99,-99,291.6,-99,209.4,-99
Jan,1971,-99,-99,-99,51.3,-99,-99,-99,93.4,-99,66.4,-99
Feb,1971,-99,-99,-99,22.5,-99,-99,-99,9.6,-99,47.3,-99
Mar,1971,-99,-99,-99,143.2,-99,-99,-99,258.6,-99,128.4,-99
Apr,1971,-99,-99,-99,116.4,-99,-99,-99,411.7,-99,133.7,-99
May,1971,-99,-99,-99,214.8,-99,-99,-99,423.4,-99,185,-99
Jun,1971,-99,-99,-99,75.4,-99,-99,-99,227.3,-99,53,-99
Jul,1971,-99,-99,-99,27.3,-99,-99,-99,74.2,-99,19.9,-99
Aug,1971,-99,-99,-99,30.7,-99,-99,-99,45.5,-99,27.8,-99
Sep,1971,-99,-99,-99,29.8,-99,-99,-99,138.9,-99,3.9,-99
Oct,1971,-99,-99,-99,59.8,-99,-99,-99,114.8,-99,50.2,-99
Nov,1971,-99,-99,-99,49.9,-99,-99,-99,150.9,-99,7.6,-99
Dec,1971,-99,-99,-99,197.7,-99,-99,-99,363.7,-99,93.6,-99
Jan,1972,-99,-99,-99,100.7,-99,-99,-99,112.5,-99,65,-99
Feb,1972,-99,-99,-99,2.5,-99,-99,-99,30.7,-99,74.1,-99
